model,window,fpr_pre_filter,confirmed_false_alarms
OneClassSVM,10,0.0000,0
OneClassSVM,15,0.0000,0
OneClassSVM,20,0.0000,0
LOF,10,0.0217,0
LOF,15,0.0217,0
LOF,20,0.0217,0
IsolationForest,10,0.0237,0
IsolationForest,15,0.0237,0
IsolationForest,20,0.0237,0
PCA,10,0.0118,0
PCA,15,0.0118,0
PCA,20,0.0118,0
AE_1layer,10,0.0296,0
AE_1layer,15,0.0296,0
AE_1layer,20,0.0296,0
AE_2layer,10,0.0158,0
AE_2layer,15,0.0158,0
AE_2layer,20,0.0158,0
AE_3layer,10,0.0296,0
AE_3layer,15,0.0296,0
AE_3layer,20,0.0296,0
LSTM_AE,10,0.0281,1
LSTM_AE,15,0.0281,0
LSTM_AE,20,0.0281,0
CNN,10,0.0039,0
CNN,15,0.0039,0
CNN,20,0.0039,0
