model,window,fpr_pre_filter,burn_in,healthy_post_burnin
IsolationForest,10,0.0237,31,8
IsolationForest,15,0.0237,21,3
IsolationForest,20,0.0237,13,2
OneClassSVM,10,0.0033,0,0
OneClassSVM,15,0.0033,0,0
OneClassSVM,20,0.0033,0,0
LOF,10,0.0064,0,0
LOF,15,0.0064,0,0
LOF,20,0.0064,0,0
PCA,10,0.0204,0,9
PCA,15,0.0204,0,4
PCA,20,0.0204,0,0
AE_1layer,10,0.0131,0,2
AE_1layer,15,0.0131,0,0
AE_1layer,20,0.0131,0,0
AE_2layer,10,0.0085,0,0
AE_2layer,15,0.0085,0,0
AE_2layer,20,0.0085,0,0
AE_3layer,10,0.0099,0,0
AE_3layer,15,0.0099,0,0
AE_3layer,20,0.0099,0,0
LSTM_AE,10,0.0076,0,2
LSTM_AE,15,0.0076,0,0
LSTM_AE,20,0.0076,0,0
CNN,10,0.0000,0,0
CNN,15,0.0000,0,0
CNN,20,0.0000,0,0
