setup,seed,threshold,alarm,verdict,delay,secs
2nd_all36,0,0.03627,2004-02-16 04:52:39,true,0 days 05:30:00,25.1
2nd_all36,1,0.03673,2004-02-16 04:52:39,true,0 days 05:30:00,25.4
2nd_all36,2,0.03194,2004-02-12 13:32:39,premature (false),,24.6
2nd_all36,3,0.03769,2004-02-16 04:42:39,true,0 days 05:20:00,24.3
2nd_all36,4,0.03713,2004-02-16 04:52:39,true,0 days 05:30:00,25.0
2nd_all36,5,0.0391,2004-02-16 04:52:39,true,0 days 05:30:00,27.1
2nd_all36,6,0.03709,2004-02-16 04:52:39,true,0 days 05:30:00,26.5
2nd_all36,7,0.03526,2004-02-12 13:32:39,premature (false),,27.8
2nd_all36,8,0.03592,2004-02-12 13:32:39,premature (false),,28.3
2nd_all36,9,0.03813,2004-02-16 04:52:39,true,0 days 05:30:00,27.2
2nd_all24,0,0.03244,2004-02-16 04:42:39,true,0 days 05:20:00,8.9
2nd_all24,1,0.03344,2004-02-16 04:52:39,true,0 days 05:30:00,6.5
2nd_all24,2,0.03097,2004-02-16 04:52:39,true,0 days 05:30:00,6.0
2nd_all24,3,0.0341,2004-02-16 04:52:39,true,0 days 05:30:00,5.9
2nd_all24,4,0.03365,2004-02-16 04:52:39,true,0 days 05:30:00,6.0
2nd_all24,5,0.03623,2004-02-16 04:52:39,true,0 days 05:30:00,11.4
2nd_all24,6,0.03109,2004-02-16 04:52:39,true,0 days 05:30:00,11.2
2nd_all24,7,0.03291,2004-02-16 04:52:39,true,0 days 05:30:00,26.4
2nd_all24,8,0.03337,2004-02-16 04:52:39,true,0 days 05:30:00,24.0
2nd_all24,9,0.03365,2004-02-16 04:52:39,true,0 days 05:30:00,25.5
3rd_all36_NS,0,0.019,2004-03-04 21:52:46,premature (false),,76.4
3rd_all36_NS,1,0.01571,2004-03-04 21:52:46,premature (false),,76.2
3rd_all36_NS,2,0.01709,2004-03-04 21:52:46,premature (false),,80.7
3rd_all36_NS,3,0.01533,2004-03-04 21:52:46,premature (false),,84.7
3rd_all36_NS,4,0.01915,2004-03-04 20:42:46,premature (false),,43.8
3rd_all36_NS,5,0.01968,2004-03-21 03:01:57,premature (false),,29.5
3rd_all36_NS,6,0.0154,2004-03-04 20:42:46,premature (false),,81.8
3rd_all36_NS,7,0.01772,2004-03-04 21:52:46,premature (false),,34.7
3rd_all36_NS,8,0.018,2004-03-04 21:52:46,premature (false),,38.7
3rd_all36_NS,9,0.01735,2004-03-04 20:42:46,premature (false),,83.9
